Total registros en cca_predio: 9000
Registros con id_operacion duplicado: 1629

Lista de id_operacion duplicados con su cantidad:
id_operacion: 254360000000000040422000000000 - Cantidad: 10
id_operacion: 254360000000000040251000000000 - Cantidad: 10
id_operacion: 254360000000000040247000000000 - Cantidad: 10
id_operacion: 254360000000000040241000000000 - Cantidad: 10
id_operacion: 254360000000000040240000000000 - Cantidad: 10
id_operacion: 254360000000000040239000000000 - Cantidad: 10
id_operacion: 254360000000000040236000000000 - Cantidad: 10
id_operacion: 254360000000000040232000000000 - Cantidad: 10
id_operacion: 254360000000000040231000000000 - Cantidad: 10
id_operacion: 254360000000000040230000000000 - Cantidad: 10
id_operacion: 254360000000000040229000000000 - Cantidad: 10
id_operacion: 254360000000000040469000000000 - Cantidad: 9
id_operacion: 254360000000000040431000000000 - Cantidad: 9
id_operacion: 254360000000000040262000000000 - Cantidad: 9
id_operacion: 254360000000000040252000000000 - Cantidad: 9
id_operacion: 254360000000000040188000000000 - Cantidad: 9
id_operacion: 254360000000000040176000000000 - Cantidad: 9
id_operacion: 254360000000000040172000000000 - Cantidad: 9
id_operacion: 254360000000000040148000000000 - Cantidad: 9
id_operacion: 254360000000000040004000000000 - Cantidad: 9
id_operacion: 254360000000000020915000000000 - Cantidad: 9
id_operacion: 254360000000000020259000000000 - Cantidad: 9
id_operacion: 254360000000000020581000000000 - Cantidad: 8
id_operacion: 254360000000000020579000000000 - Cantidad: 8
id_operacion: 254360000000000020577000000000 - Cantidad: 8
id_operacion: 254360000000000020576000000000 - Cantidad: 8
id_operacion: 254360000000000020368000000000 - Cantidad: 8
id_operacion: 254360000000000020367000000000 - Cantidad: 8
id_operacion: 254360000000000020296000000000 - Cantidad: 8
id_operacion: 254360000000000020020000000000 - Cantidad: 8
id_operacion: 254360000000000020012000000000 - Cantidad: 8
id_operacion: 254360000000000020984000000000 - Cantidad: 7
id_operacion: 254360000000000020706000000000 - Cantidad: 7
id_operacion: 254360000000000020234000000000 - Cantidad: 6
id_operacion: 25436202412100N1286220144000 - Cantidad: 5
id_operacion: 254360100000000210801800000021 - Cantidad: 5
id_operacion: 254360100000000210801800000019 - Cantidad: 5
id_operacion: 254360100000000210801800000005 - Cantidad: 5
id_operacion: 254360100000000210801800000004 - Cantidad: 5
id_operacion: 254360100000000210801800000003 - Cantidad: 5
id_operacion: 254360100000000210801800000002 - Cantidad: 5
id_operacion: 254360100000000210801800000001 - Cantidad: 5
id_operacion: 254360100000000180004000000000 - Cantidad: 5
id_operacion: 254360100000000150057000000000 - Cantidad: 5
id_operacion: 254360100000000150001000000000 - Cantidad: 5
id_operacion: 254360100000000030006000000000 - Cantidad: 5
id_operacion: 254360100000000030005000000000 - Cantidad: 5
id_operacion: 254360100000000030004000000000 - Cantidad: 5
id_operacion: 254360100000000030003000000000 - Cantidad: 5
id_operacion: 254360000000000040500000000000 - Cantidad: 5
id_operacion: 254360000000000040499000000000 - Cantidad: 5
id_operacion: 254360000000000040496000000000 - Cantidad: 5
id_operacion: 254360000000000040495000000000 - Cantidad: 5
id_operacion: 254360000000000040494000000000 - Cantidad: 5
id_operacion: 254360000000000040493000000000 - Cantidad: 5
id_operacion: 254360000000000040492000000000 - Cantidad: 5
id_operacion: 254360000000000040491000000000 - Cantidad: 5
id_operacion: 254360000000000040487000000000 - Cantidad: 5
id_operacion: 254360000000000040486000000000 - Cantidad: 5
id_operacion: 254360000000000040482000000000 - Cantidad: 5
id_operacion: 254360000000000040475000000000 - Cantidad: 5
id_operacion: 254360000000000040474000000000 - Cantidad: 5
id_operacion: 254360000000000040473000000000 - Cantidad: 5
id_operacion: 254360000000000040471000000000 - Cantidad: 5
id_operacion: 254360000000000040470000000000 - Cantidad: 5
id_operacion: 254360000000000040468000000000 - Cantidad: 5
id_operacion: 254360000000000040466000000000 - Cantidad: 5
id_operacion: 254360000000000040449000000000 - Cantidad: 5
id_operacion: 254360000000000040447000000000 - Cantidad: 5
id_operacion: 254360000000000040443000000000 - Cantidad: 5
id_operacion: 254360000000000040442000000000 - Cantidad: 5
id_operacion: 254360000000000040441000000000 - Cantidad: 5
id_operacion: 254360000000000040440000000000 - Cantidad: 5
id_operacion: 254360000000000040439000000000 - Cantidad: 5
id_operacion: 254360000000000040437000000000 - Cantidad: 5
id_operacion: 254360000000000040428000000000 - Cantidad: 5
id_operacion: 254360000000000040419000000000 - Cantidad: 5
id_operacion: 254360000000000040418000000000 - Cantidad: 5
id_operacion: 254360000000000040417000000000 - Cantidad: 5
id_operacion: 254360000000000040416000000000 - Cantidad: 5
id_operacion: 254360000000000040414000000000 - Cantidad: 5
id_operacion: 254360000000000040413000000000 - Cantidad: 5
id_operacion: 254360000000000040412000000000 - Cantidad: 5
id_operacion: 254360000000000040411000000000 - Cantidad: 5
id_operacion: 254360000000000040410000000000 - Cantidad: 5
id_operacion: 254360000000000040409000000000 - Cantidad: 5
id_operacion: 254360000000000040408000000000 - Cantidad: 5
id_operacion: 254360000000000040407000000000 - Cantidad: 5
id_operacion: 254360000000000040406000000000 - Cantidad: 5
id_operacion: 254360000000000040405000000000 - Cantidad: 5
id_operacion: 254360000000000040404000000000 - Cantidad: 5
id_operacion: 254360000000000040403000000000 - Cantidad: 5
id_operacion: 254360000000000040402000000000 - Cantidad: 5
id_operacion: 254360000000000040400000000000 - Cantidad: 5
id_operacion: 254360000000000040399000000000 - Cantidad: 5
id_operacion: 254360000000000040398000000000 - Cantidad: 5
id_operacion: 254360000000000040397000000000 - Cantidad: 5
id_operacion: 254360000000000040396000000000 - Cantidad: 5
id_operacion: 254360000000000040395000000000 - Cantidad: 5
id_operacion: 254360000000000040394000000000 - Cantidad: 5
id_operacion: 254360000000000040393000000000 - Cantidad: 5
id_operacion: 254360000000000040392000000000 - Cantidad: 5
id_operacion: 254360000000000040391000000000 - Cantidad: 5
id_operacion: 254360000000000040390000000000 - Cantidad: 5
id_operacion: 254360000000000040389000000000 - Cantidad: 5
id_operacion: 254360000000000040388000000000 - Cantidad: 5
id_operacion: 254360000000000040387000000000 - Cantidad: 5
id_operacion: 254360000000000040386000000000 - Cantidad: 5
id_operacion: 254360000000000040385000000000 - Cantidad: 5
id_operacion: 254360000000000040384000000000 - Cantidad: 5
id_operacion: 254360000000000040383000000000 - Cantidad: 5
id_operacion: 254360000000000040382000000000 - Cantidad: 5
id_operacion: 254360000000000040381000000000 - Cantidad: 5
id_operacion: 254360000000000040380000000000 - Cantidad: 5
id_operacion: 254360000000000040379000000000 - Cantidad: 5
id_operacion: 254360000000000040378000000000 - Cantidad: 5
id_operacion: 254360000000000040377000000000 - Cantidad: 5
id_operacion: 254360000000000040376000000000 - Cantidad: 5
id_operacion: 254360000000000040375000000000 - Cantidad: 5
id_operacion: 254360000000000040374000000000 - Cantidad: 5
id_operacion: 254360000000000040373000000000 - Cantidad: 5
id_operacion: 254360000000000040372000000000 - Cantidad: 5
id_operacion: 254360000000000040371000000000 - Cantidad: 5
id_operacion: 254360000000000040370000000000 - Cantidad: 5
id_operacion: 254360000000000040369000000000 - Cantidad: 5
id_operacion: 254360000000000040368000000000 - Cantidad: 5
id_operacion: 254360000000000040367000000000 - Cantidad: 5
id_operacion: 254360000000000040366000000000 - Cantidad: 5
id_operacion: 254360000000000040365000000000 - Cantidad: 5
id_operacion: 254360000000000040364000000000 - Cantidad: 5
id_operacion: 254360000000000040363000000000 - Cantidad: 5
id_operacion: 254360000000000040362000000000 - Cantidad: 5
id_operacion: 254360000000000040361000000000 - Cantidad: 5
id_operacion: 254360000000000040360000000000 - Cantidad: 5
id_operacion: 254360000000000040359000000000 - Cantidad: 5
id_operacion: 254360000000000040358000000000 - Cantidad: 5
id_operacion: 254360000000000040357000000000 - Cantidad: 5
id_operacion: 254360000000000040356000000000 - Cantidad: 5
id_operacion: 254360000000000040355000000000 - Cantidad: 5
id_operacion: 254360000000000040354000000000 - Cantidad: 5
id_operacion: 254360000000000040353000000000 - Cantidad: 5
id_operacion: 254360000000000040352000000000 - Cantidad: 5
id_operacion: 254360000000000040351000000000 - Cantidad: 5
id_operacion: 254360000000000040350000000000 - Cantidad: 5
id_operacion: 254360000000000040349000000000 - Cantidad: 5
id_operacion: 254360000000000040348000000000 - Cantidad: 5
id_operacion: 254360000000000040347000000000 - Cantidad: 5
id_operacion: 254360000000000040346000000000 - Cantidad: 5
id_operacion: 254360000000000040345000000000 - Cantidad: 5
id_operacion: 254360000000000040344000000000 - Cantidad: 5
id_operacion: 254360000000000040343000000000 - Cantidad: 5
id_operacion: 254360000000000040342000000000 - Cantidad: 5
id_operacion: 254360000000000040341000000000 - Cantidad: 5
id_operacion: 254360000000000040340000000000 - Cantidad: 5
id_operacion: 254360000000000040339000000000 - Cantidad: 5
id_operacion: 254360000000000040338000000000 - Cantidad: 5
id_operacion: 254360000000000040337000000000 - Cantidad: 5
id_operacion: 254360000000000040336000000000 - Cantidad: 5
id_operacion: 254360000000000040335000000000 - Cantidad: 5
id_operacion: 254360000000000040334000000000 - Cantidad: 5
id_operacion: 254360000000000040333000000000 - Cantidad: 5
id_operacion: 254360000000000040332000000000 - Cantidad: 5
id_operacion: 254360000000000040331000000000 - Cantidad: 5
id_operacion: 254360000000000040330000000000 - Cantidad: 5
id_operacion: 254360000000000040329000000000 - Cantidad: 5
id_operacion: 254360000000000040328000000000 - Cantidad: 5
id_operacion: 254360000000000040327000000000 - Cantidad: 5
id_operacion: 254360000000000040326000000000 - Cantidad: 5
id_operacion: 254360000000000040325000000000 - Cantidad: 5
id_operacion: 254360000000000040324000000000 - Cantidad: 5
id_operacion: 254360000000000040323000000000 - Cantidad: 5
id_operacion: 254360000000000040322000000000 - Cantidad: 5
id_operacion: 254360000000000040321000000000 - Cantidad: 5
id_operacion: 254360000000000040320000000000 - Cantidad: 5
id_operacion: 254360000000000040319000000000 - Cantidad: 5
id_operacion: 254360000000000040318000000000 - Cantidad: 5
id_operacion: 254360000000000040317000000000 - Cantidad: 5
id_operacion: 254360000000000040316000000000 - Cantidad: 5
id_operacion: 254360000000000040315000000000 - Cantidad: 5
id_operacion: 254360000000000040314000000000 - Cantidad: 5
